m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
0.12,0.12,0.28,-0.06,0.0,-0.18,0.16,-0.1,0.22,-0.18,-0.02,-0.08,0.14,-0.02,0.16,0.22,-0.2,-0.28,0.32,0.08
-0.1,-0.18,0.44,-0.32,0.06,-0.28,0.16,-0.04,0.5,-0.3,0.12,-0.2,0.14,0.04,0.14,0.24,-0.32,-0.3,0.48,0.1
-0.02,-0.28,0.4,-0.36,0.08,-0.1,-0.02,0.06,0.48,-0.1,0.14,-0.3,0.02,0.0,0.24,0.36,-0.44,-0.32,0.42,0.16
-0.02,-0.48,0.42,-0.56,0.06,-0.14,-0.04,-0.14,0.58,-0.1,0.02,-0.52,0.0,0.04,0.26,0.26,-0.5,-0.5,0.6,0.28
-0.08,-0.7,0.34,-0.8,-0.08,-0.02,-0.08,0.02,0.58,-0.02,-0.12,-0.68,0.06,0.04,0.0,0.26,-0.54,-0.48,0.76,0.42
0.0,-0.7,0.32,-0.8,-0.04,0.02,-0.3,0.04,0.58,0.0,-0.14,-0.92,-0.04,0.04,0.02,0.22,-0.44,-0.56,0.84,0.42
0.0,-0.86,0.38,-0.88,-0.04,0.14,-0.2,-0.06,0.56,-0.14,-0.2,-0.9,-0.16,0.04,-0.02,0.22,-0.52,-0.68,0.86,0.58
0.14,-0.84,0.28,-0.92,-0.18,0.22,-0.18,-0.02,0.56,-0.06,-0.32,-0.94,-0.26,0.06,0.02,0.14,-0.46,-0.8,0.92,0.82
0.14,-0.86,0.38,-0.94,-0.14,0.12,-0.28,-0.02,0.66,-0.12,-0.66,-0.98,-0.44,-0.04,-0.02,0.06,-0.58,-0.72,0.98,0.88
0.3,-0.86,0.24,-0.98,-0.14,0.12,-0.2,0.06,0.72,-0.1,-0.76,-1.0,-0.5,0.12,-0.04,0.36,-0.64,-0.76,0.98,0.94
0.24,-0.82,0.44,-1.0,-0.24,0.14,-0.18,0.1,0.64,-0.2,-0.72,-1.0,-0.52,0.28,0.04,0.2,-0.68,-0.8,0.98,0.98
0.18,-0.86,0.36,-0.94,-0.3,-0.06,-0.06,0.32,0.58,-0.16,-0.66,-0.96,-0.58,0.3,0.14,0.18,-0.62,-0.72,0.98,0.94
0.14,-0.94,0.24,-0.96,-0.26,-0.06,-0.18,0.24,0.64,-0.16,-0.78,-1.0,-0.58,0.26,0.24,0.26,-0.66,-0.82,0.96,1.0
0.08,-0.98,0.26,-0.98,-0.32,-0.02,-0.24,0.28,0.84,-0.22,-0.88,-1.0,-0.6,0.3,0.24,0.22,-0.68,-0.82,0.98,1.0
0.24,-0.96,0.34,-1.0,-0.44,0.08,-0.2,0.28,0.88,-0.08,-0.82,-1.0,-0.68,0.3,0.18,0.14,-0.76,-0.92,0.96,1.0
0.28,-1.0,0.3,-1.0,-0.38,-0.12,-0.12,0.2,0.82,0.02,-0.88,-0.94,-0.62,0.36,0.28,0.02,-0.74,-0.92,1.0,0.98
0.28,-0.94,0.44,-1.0,-0.4,-0.16,-0.14,0.24,0.78,-0.02,-0.88,-0.96,-0.68,0.34,0.16,0.08,-0.78,-0.9,0.96,0.96
0.32,-0.98,0.34,-1.0,-0.38,-0.24,-0.14,0.34,0.78,-0.18,-0.94,-0.98,-0.62,0.5,0.16,0.16,-0.84,-0.92,0.98,0.94
0.32,-1.0,0.36,-1.0,-0.34,-0.28,-0.1,0.18,0.8,-0.2,-0.96,-1.0,-0.76,0.56,0.08,0.22,-0.88,-0.92,0.94,0.96
0.4,-1.0,0.42,-0.96,-0.5,-0.46,-0.24,0.38,0.84,-0.06,-0.92,-0.98,-0.76,0.48,-0.06,0.12,-0.88,-0.92,1.0,0.94
0.44,-1.0,0.62,-1.0,-0.66,-0.52,-0.24,0.34,0.82,-0.14,-0.94,-1.0,-0.88,0.52,-0.24,0.02,-0.8,-0.92,0.98,0.98
0.48,-0.98,0.78,-0.98,-0.78,-0.58,-0.22,0.32,0.84,-0.32,-0.92,-0.96,-0.94,0.6,-0.02,0.16,-0.82,-0.96,1.0,1.0
0.5,-0.88,0.84,-0.98,-0.92,-0.68,-0.3,0.16,0.88,-0.38,-0.92,-0.96,-0.98,0.62,-0.06,0.32,-0.9,-0.96,0.96,1.0
0.46,-0.88,0.78,-0.98,-0.9,-0.64,-0.38,0.2,0.92,-0.42,-0.9,-1.0,-0.98,0.68,-0.12,0.34,-0.96,-0.98,0.94,0.98
0.34,-0.96,0.82,-0.98,-0.94,-0.76,-0.26,0.28,0.98,-0.32,-0.86,-0.98,-1.0,0.64,-0.24,0.38,-0.96,-0.98,0.96,1.0
0.34,-0.98,0.74,-0.98,-0.96,-0.84,-0.24,0.34,1.0,-0.46,-0.82,-0.96,-1.0,0.78,-0.26,0.4,-0.98,-1.0,0.98,0.98
0.38,-1.0,0.7,-0.96,-0.92,-0.96,-0.22,0.16,1.0,-0.64,-0.76,-0.96,-0.96,0.86,-0.38,0.34,-0.98,-0.98,1.0,0.98
0.42,-1.0,0.74,-1.0,-0.98,-1.0,-0.26,0.16,0.96,-0.76,-0.74,-0.98,-0.94,0.94,-0.44,0.36,-0.96,-1.0,1.0,0.96
0.46,-0.96,0.78,-0.98,-1.0,-1.0,-0.36,0.1,0.98,-0.82,-0.72,-1.0,-0.98,0.94,-0.5,0.46,-0.98,-0.98,1.0,1.0
0.48,-0.9,0.84,-1.0,-1.0,-1.0,-0.28,0.1,1.0,-0.74,-0.72,-0.98,-0.94,0.96,-0.44,0.42,-0.96,-0.94,0.98,1.0
0.6,-0.92,0.82,-1.0,-0.94,-1.0,-0.14,0.34,1.0,-0.92,-0.78,-0.96,-0.96,0.92,-0.64,0.48,-1.0,-0.86,1.0,1.0
0.64,-0.88,0.96,-1.0,-0.9,-1.0,-0.08,0.3,1.0,-0.9,-0.84,-0.98,-0.98,0.92,-0.74,0.52,-0.98,-0.96,0.98,1.0
