m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
-0.0624,-0.0224,0.0128,0.1264,0.0008,0.0224,0.0336,0.0496,-0.0328,-0.0536,-0.0816,0.0336,-0.0128,-0.0024,0.0528,0.0088,0.0064,-0.04,-0.0064,-0.0248
-0.0992,-0.0392,0.0064,0.1768,-0.0136,0.0664,0.0832,0.0488,-0.08,-0.068,-0.1216,0.0248,-0.0072,0.004,0.0784,0.0016,-0.016,-0.0528,-0.0096,-0.0512
-0.1072,-0.0376,-0.0256,0.2104,0.0208,0.1088,0.0888,0.0712,-0.116,-0.0904,-0.1816,0.0608,0.028,-0.0288,0.108,-0.0024,0.0072,-0.064,0.044,-0.0632
-0.1264,-0.048,-0.0392,0.196,0.0336,0.1152,0.0904,0.0512,-0.1432,-0.144,-0.2064,0.0728,0.0,-0.056,0.152,0.0152,0.0448,-0.052,0.0384,-0.104
-0.1632,-0.0728,-0.0784,0.2168,0.072,0.1096,0.096,0.0784,-0.1608,-0.1376,-0.2472,0.0832,-0.0184,-0.056,0.1584,0.0048,0.048,-0.0456,0.036,-0.1792
-0.1816,-0.0624,-0.0928,0.1936,0.0752,0.1368,0.0808,0.0912,-0.1552,-0.1504,-0.284,0.0944,-0.0144,-0.052,0.1824,0.0024,0.0864,-0.052,0.0376,-0.2064
-0.212,-0.0648,-0.0696,0.208,0.076,0.2264,0.0552,0.0928,-0.1928,-0.1656,-0.3232,0.1,0.0104,-0.0632,0.212,-0.0288,0.0816,-0.0416,0.0512,-0.1904
-0.228,-0.0216,-0.0808,0.2376,0.0848,0.252,0.0528,0.1328,-0.2152,-0.1704,-0.356,0.132,0.0496,-0.0776,0.2144,-0.028,0.064,-0.072,0.0728,-0.2184
-0.2488,0.0056,-0.124,0.236,0.0944,0.2592,0.032,0.1616,-0.2272,-0.1544,-0.3688,0.1464,0.0768,-0.088,0.24,-0.0176,0.0664,-0.0568,0.0632,-0.2696
-0.26,-0.04,-0.1392,0.256,0.1032,0.2712,0.0328,0.1328,-0.2704,-0.152,-0.3736,0.1568,0.0552,-0.1032,0.2488,-0.0336,0.0824,-0.0992,0.0456,-0.2816
-0.2616,-0.0376,-0.144,0.276,0.0832,0.3,0.0488,0.1368,-0.2704,-0.1752,-0.3824,0.1656,0.0792,-0.112,0.2664,-0.0432,0.064,-0.0968,0.04,-0.2616
-0.2656,-0.0336,-0.168,0.2952,0.0784,0.3,0.0296,0.112,-0.3064,-0.1824,-0.38,0.1904,0.0776,-0.1192,0.2592,-0.0096,0.0448,-0.0848,0.0288,-0.2672
